Dataset,"#TrainingRelease",%Training,%DefectiveInTraining,%DefectiveInTesting,Classifier,Sampling,FeatureSelection,TP,FP,TN,FN,FPRate,TNRate,FNRate,Precision,Recall,ROCArea,Kappa
SYNCOPE,4,10.321584047184384,2.0861678004535147,2.276707530647986,IBk,overSampling,No,11.0,6.0,552.0,2.0,0.010752688172043012,0.989247311827957,0.15384615384615385,0.6470588235294118,0.8461538461538461,0.9510614833195479,0.7262703739213819
SYNCOPE,4,10.321584047184384,2.0861678004535147,2.276707530647986,IBk,overSampling,Yes,1.0,27.0,531.0,12.0,0.04838709677419355,0.9516129032258065,0.9230769230769231,0.03571428571428571,0.07692307692307693,0.3923352633030052,0.018251554027246056
SYNCOPE,4,10.321584047184384,2.0861678004535147,2.276707530647986,IBk,smote,No,11.0,0.0,558.0,2.0,0.0,1.0,0.15384615384615385,1.0,0.8461538461538461,0.9230769230769231,0.9148904456699967
SYNCOPE,4,10.321584047184384,2.0861678004535147,2.276707530647986,IBk,smote,Yes,1.0,11.0,547.0,12.0,0.01971326164874552,0.9802867383512545,0.9230769230769231,0.08333333333333333,0.07692307692307693,0.4037082988695892,0.059442813149038654
SYNCOPE,5,12.994429621307868,2.1253602305475505,18.608169440242055,NaiveBayes,noSampling,No,30.0,35.0,503.0,93.0,0.06505576208178439,0.9349442379182156,0.7560975609756098,0.46153846153846156,0.24390243902439024,0.6637501133375646,0.21860396387077696
SYNCOPE,5,12.994429621307868,2.1253602305475505,18.608169440242055,NaiveBayes,noSampling,Yes,34.0,56.0,482.0,89.0,0.10408921933085502,0.895910780669145,0.7235772357723578,0.37777777777777777,0.2764227642276423,0.6089476229334784,0.1922243853926995
SYNCOPE,5,12.994429621307868,2.1253602305475505,18.608169440242055,NaiveBayes,underSampling,No,55.0,73.0,465.0,68.0,0.13568773234200743,0.8643122676579925,0.5528455284552846,0.4296875,0.44715447154471544,0.6862060628041224,0.3066588307060548
SYNCOPE,5,12.994429621307868,2.1253602305475505,18.608169440242055,NaiveBayes,underSampling,Yes,50.0,123.0,415.0,73.0,0.22862453531598512,0.7713754646840149,0.5934959349593496,0.28901734104046245,0.4065040650406504,0.6184755341977212,0.15377078733882857
SYNCOPE,5,12.994429621307868,2.1253602305475505,18.608169440242055,NaiveBayes,overSampling,No,40.0,45.0,493.0,83.0,0.08364312267657993,0.9163568773234201,0.6747967479674797,0.47058823529411764,0.3252032520325203,0.6687671895306314,0.27423699154214354
SYNCOPE,5,12.994429621307868,2.1253602305475505,18.608169440242055,NaiveBayes,overSampling,Yes,49.0,123.0,415.0,74.0,0.22862453531598512,0.7713754646840149,0.6016260162601627,0.28488372093023256,0.3983739837398374,0.610058331066582,0.1471414630312478
SYNCOPE,5,12.994429621307868,2.1253602305475505,18.608169440242055,NaiveBayes,smote,No,37.0,40.0,498.0,86.0,0.07434944237918216,0.9256505576208178,0.6991869918699187,0.4805194805194805,0.3008130081300813,0.667059570223955,0.2646347277896484
SYNCOPE,5,12.994429621307868,2.1253602305475505,18.608169440242055,NaiveBayes,smote,Yes,36.0,60.0,478.0,87.0,0.11152416356877323,0.8884758364312267,0.7073170731707317,0.375,0.2926829268292683,0.6092271889261643,0.19791486094945668
SYNCOPE,5,12.994429621307868,2.1253602305475505,18.608169440242055,RandomForest,noSampling,No,11.0,0.0,538.0,112.0,0.0,1.0,0.9105691056910569,1.0,0.08943089430894309,0.6016562396107232,0.13783947454232096
SYNCOPE,5,12.994429621307868,2.1253602305475505,18.608169440242055,RandomForest,noSampling,Yes,10.0,11.0,527.0,113.0,0.020446096654275093,0.9795539033457249,0.9186991869918699,0.47619047619047616,0.08130081300813008,0.6177577296219059,0.0894709946899512
SYNCOPE,5,12.994429621307868,2.1253602305475505,18.608169440242055,RandomForest,underSampling,No,62.0,110.0,428.0,61.0,0.20446096654275092,0.7955390334572491,0.4959349593495935,0.36046511627906974,0.5040650406504065,0.7122359234744764,0.25970147298651475
SYNCOPE,5,12.994429621307868,2.1253602305475505,18.608169440242055,RandomForest,underSampling,Yes,86.0,284.0,254.0,37.0,0.5278810408921933,0.4721189591078067,0.3008130081300813,0.23243243243243245,0.6991869918699187,0.5892193308550185,0.09653698270833254
SYNCOPE,5,12.994429621307868,2.1253602305475505,18.608169440242055,RandomForest,overSampling,No,13.0,14.0,524.0,110.0,0.026022304832713755,0.9739776951672863,0.8943089430894309,0.48148148148148145,0.10569105691056911,0.4646311240064073,0.11397933151727425
SYNCOPE,5,12.994429621307868,2.1253602305475505,18.608169440242055,RandomForest,overSampling,Yes,8.0,22.0,516.0,115.0,0.040892193308550186,0.9591078066914498,0.9349593495934959,0.26666666666666666,0.06504065040650407,0.49060053797563996,0.03408957580024086
SYNCOPE,5,12.994429621307868,2.1253602305475505,18.608169440242055,RandomForest,smote,No,11.0,0.0,538.0,112.0,0.0,1.0,0.9105691056910569,1.0,0.08943089430894309,0.589000211563454,0.13783947454232096
SYNCOPE,5,12.994429621307868,2.1253602305475505,18.608169440242055,RandomForest,smote,Yes,9.0,16.0,522.0,114.0,0.02973977695167286,0.9702602230483272,0.926829268292683,0.36,0.07317073170731707,0.5876326049505848,0.0626977028294684
SYNCOPE,5,12.994429621307868,2.1253602305475505,18.608169440242055,IBk,noSampling,No,12.0,9.0,529.0,111.0,0.016728624535315983,0.983271375464684,0.9024390243902439,0.5714285714285714,0.0975609756097561,0.5555127391422613,0.11884289808704931
SYNCOPE,5,12.994429621307868,2.1253602305475505,18.608169440242055,IBk,noSampling,Yes,33.0,105.0,433.0,90.0,0.19516728624535315,0.8048327137546468,0.7317073170731707,0.2391304347826087,0.2682926829268293,0.4995693172545108,0.06984044510835435
SYNCOPE,5,12.994429621307868,2.1253602305475505,18.608169440242055,IBk,underSampling,No,59.0,105.0,433.0,64.0,0.19516728624535315,0.8048327137546468,0.5203252032520326,0.3597560975609756,0.4796747967479675,0.6422537552513071,0.25209723961088065
SYNCOPE,5,12.994429621307868,2.1253602305475505,18.608169440242055,IBk,underSampling,Yes,90.0,330.0,208.0,33.0,0.6133828996282528,0.38661710037174724,0.2682926829268293,0.21428571428571427,0.7317073170731707,0.5449950131471575,0.0612668865388904
SYNCOPE,5,12.994429621307868,2.1253602305475505,18.608169440242055,IBk,overSampling,No,12.0,12.0,526.0,111.0,0.022304832713754646,0.9776951672862454,0.9024390243902439,0.5,0.0975609756097561,0.48729108108924957,0.10913513691200154
SYNCOPE,5,12.994429621307868,2.1253602305475505,18.608169440242055,IBk,overSampling,Yes,38.0,129.0,409.0,85.0,0.23977695167286245,0.7602230483271375,0.6910569105691057,0.2275449101796407,0.3089430894308943,0.5128147006377127,0.06078030383512151
SYNCOPE,5,12.994429621307868,2.1253602305475505,18.608169440242055,IBk,smote,No,12.0,9.0,529.0,111.0,0.016728624535315983,0.983271375464684,0.9024390243902439,0.5714285714285714,0.0975609756097561,0.5555127391422613,0.11884289808704931
SYNCOPE,5,12.994429621307868,2.1253602305475505,18.608169440242055,IBk,smote,Yes,61.0,236.0,302.0,62.0,0.43866171003717475,0.5613382899628253,0.5040650406504065,0.2053872053872054,0.4959349593495935,0.4907289872155227,0.037055505040135335
