TicketID,OpeningVersion,FixedVersion,InjectedVersion
SYNCOPE-532,1.2.0-M1,1.2.0-M1,1.2.0-M1
SYNCOPE-531,1.2.0-M1,1.2.0-M1,1.1.8
SYNCOPE-527,1.1.8,1.2.0-M1,1.1.7,stimato
SYNCOPE-556,1.2.0,1.2.0,1.2.0-M1
SYNCOPE-553,1.2.0,1.2.0,1.2.0-M1
SYNCOPE-551,1.2.0,1.2.0,1.2.0-M1
SYNCOPE-549,1.2.0,1.2.0,1.2.0-M1
SYNCOPE-548,1.2.0,1.2.0,1.2.0-M1
SYNCOPE-547,1.2.0,1.2.0,1.1.8
SYNCOPE-543,1.2.0-M1,1.2.0,1.1.8
SYNCOPE-605,1.2.1,1.2.1,1.2.1
SYNCOPE-603,1.2.1,1.2.1,1.2.1
SYNCOPE-601,1.2.1,1.2.1,1.1.8
SYNCOPE-600,1.2.1,1.2.1,1.1.8
SYNCOPE-598,1.2.1,1.2.1,1.2.0
SYNCOPE-597,1.2.1,1.2.1,1.2.0
SYNCOPE-596,1.2.1,1.2.1,1.2.0-M1
SYNCOPE-578,1.2.1,1.2.1,1.2.0-M1
SYNCOPE-576,1.2.1,1.2.1,1.2.0
SYNCOPE-574,1.2.1,1.2.1,1.2.0
SYNCOPE-572,1.2.1,1.2.1,1.2.0
SYNCOPE-571,1.2.1,1.2.1,1.2.0
SYNCOPE-569,1.2.1,1.2.1,1.2.0
SYNCOPE-568,1.2.1,1.2.1,1.1.8
SYNCOPE-567,1.2.1,1.2.1,1.2.0
SYNCOPE-566,1.2.1,1.2.1,1.2.0
SYNCOPE-565,1.2.1,1.2.1,1.2.0
SYNCOPE-564,1.2.1,1.2.1,1.2.0
SYNCOPE-562,1.2.1,1.2.1,1.2.0
SYNCOPE-561,1.2.1,1.2.1,1.2.0
SYNCOPE-560,1.2.1,1.2.1,1.2.0
SYNCOPE-557,1.2.1,1.2.1,1.2.0-M1
SYNCOPE-554,1.2.0,1.2.1,1.2.0-M1
SYNCOPE-632,1.2.2,1.2.2,1.2.1
SYNCOPE-629,1.2.2,1.2.2,1.2.1
SYNCOPE-625,1.2.2,1.2.2,1.2.2,stimato
SYNCOPE-617,1.2.2,1.2.2,1.2.1
SYNCOPE-615,1.2.2,1.2.2,1.2.2
SYNCOPE-614,1.2.2,1.2.2,1.2.1
SYNCOPE-613,1.2.2,1.2.2,1.2.1
SYNCOPE-611,1.2.2,1.2.2,1.2.1
SYNCOPE-608,1.2.2,1.2.2,1.2.0
SYNCOPE-607,1.2.2,1.2.2,1.2.1
SYNCOPE-647,1.2.3,1.2.3,1.2.2
SYNCOPE-644,1.2.3,1.2.3,1.2.2
SYNCOPE-643,1.2.3,1.2.3,1.1.8
SYNCOPE-641,1.2.3,1.2.3,1.2.2
SYNCOPE-639,1.2.3,1.2.3,1.2.1
