TicketID,OpeningVersion,FixedVersion,InjectedVersion
BOOKKEEPER-442,4.1.1,4.1.1,4.1.0
BOOKKEEPER-441,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-439,4.1.1,4.1.1,4.1.0
BOOKKEEPER-436,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-434,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-427,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-425,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-424,4.1.1,4.1.1,4.0.0
BOOKKEEPER-415,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-413,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-408,4.1.1,4.1.1,4.1.0
BOOKKEEPER-404,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-403,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-397,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-396,4.1.1,4.1.1,4.1.0
BOOKKEEPER-395,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-392,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-387,4.1.1,4.1.1,4.1.0
BOOKKEEPER-383,4.1.1,4.1.1,4.1.0
BOOKKEEPER-382,4.1.1,4.1.1,4.0.0
BOOKKEEPER-381,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-372,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-371,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-355,4.1.1,4.1.1,4.1.0
BOOKKEEPER-354,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-352,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-351,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-349,4.1.1,4.1.1,4.1.0
BOOKKEEPER-343,4.1.1,4.1.1,4.1.0
BOOKKEEPER-338,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-337,4.1.1,4.1.1,4.0.0
BOOKKEEPER-336,4.1.1,4.1.1,4.1.0
BOOKKEEPER-330,4.1.1,4.1.1,4.0.0
BOOKKEEPER-329,4.1.1,4.1.1,4.0.0
BOOKKEEPER-327,4.1.1,4.1.1,4.0.0
BOOKKEEPER-326,4.1.1,4.1.1,4.1.0
BOOKKEEPER-324,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-322,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-307,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-306,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-303,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-302,4.1.1,4.1.1,4.1.0
BOOKKEEPER-298,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-296,4.1.1,4.1.1,4.0.0
BOOKKEEPER-294,4.1.1,4.1.1,4.1.0
BOOKKEEPER-292,4.1.0,4.1.1,4.1.0,stimato
BOOKKEEPER-291,4.1.0,4.1.1,4.1.0,stimato
BOOKKEEPER-280,4.1.0,4.1.1,4.1.0,stimato
BOOKKEEPER-55,4.0.0,4.1.1,4.0.0
BOOKKEEPER-586,4.2.1,4.2.1,4.2.1,stimato
BOOKKEEPER-585,4.2.1,4.2.1,4.2.1,stimato
BOOKKEEPER-583,4.2.1,4.2.1,4.2.1
BOOKKEEPER-581,4.2.1,4.2.1,4.2.1,stimato
BOOKKEEPER-579,4.2.1,4.2.1,4.2.1,stimato
BOOKKEEPER-569,4.2.1,4.2.1,4.2.1,stimato
BOOKKEEPER-568,4.2.1,4.2.1,4.2.1,stimato
BOOKKEEPER-567,4.2.1,4.2.1,4.2.1,stimato
BOOKKEEPER-561,4.2.1,4.2.1,4.2.1,stimato
BOOKKEEPER-559,4.2.1,4.2.1,4.2.1,stimato
BOOKKEEPER-557,4.2.1,4.2.1,4.2.1,stimato
BOOKKEEPER-556,4.2.1,4.2.1,4.2.1,stimato
BOOKKEEPER-554,4.2.1,4.2.1,4.2.1,stimato
BOOKKEEPER-549,4.2.1,4.2.1,4.2.1,stimato
BOOKKEEPER-548,4.2.1,4.2.1,4.2.1,stimato
BOOKKEEPER-686,4.2.2,4.2.2,4.2.2,stimato
BOOKKEEPER-683,4.2.2,4.2.2,4.2.2,stimato
BOOKKEEPER-668,4.2.2,4.2.2,4.2.1
BOOKKEEPER-667,4.2.2,4.2.2,4.2.1
BOOKKEEPER-663,4.2.2,4.2.2,4.2.2,stimato
BOOKKEEPER-652,4.2.2,4.2.2,4.2.2,stimato
BOOKKEEPER-649,4.2.2,4.2.2,4.2.2,stimato
BOOKKEEPER-646,4.2.2,4.2.2,4.2.1
BOOKKEEPER-642,4.2.2,4.2.2,4.2.2,stimato
BOOKKEEPER-641,4.2.2,4.2.2,4.2.1
BOOKKEEPER-636,4.2.2,4.2.2,4.2.1
BOOKKEEPER-635,4.2.2,4.2.2,4.2.2,stimato
BOOKKEEPER-633,4.2.2,4.2.2,4.2.2
BOOKKEEPER-632,4.2.2,4.2.2,4.2.1
BOOKKEEPER-626,4.2.2,4.2.2,4.2.1
BOOKKEEPER-624,4.2.2,4.2.2,4.2.1
BOOKKEEPER-623,4.2.2,4.2.2,4.2.1
BOOKKEEPER-620,4.2.2,4.2.2,4.2.2,stimato
BOOKKEEPER-619,4.2.2,4.2.2,4.2.1
BOOKKEEPER-617,4.2.2,4.2.2,4.2.2,stimato
BOOKKEEPER-610,4.2.2,4.2.2,4.2.2,stimato
BOOKKEEPER-607,4.2.2,4.2.2,4.2.2,stimato
BOOKKEEPER-604,4.2.2,4.2.2,4.2.2,stimato
BOOKKEEPER-603,4.2.2,4.2.2,4.2.2,stimato
BOOKKEEPER-601,4.2.2,4.2.2,4.2.2,stimato
BOOKKEEPER-600,4.2.2,4.2.2,4.2.2,stimato
BOOKKEEPER-599,4.2.2,4.2.2,4.2.2,stimato
BOOKKEEPER-598,4.2.2,4.2.2,4.2.1
BOOKKEEPER-597,4.2.2,4.2.2,4.2.2,stimato
BOOKKEEPER-596,4.2.2,4.2.2,4.2.2,stimato
BOOKKEEPER-584,4.2.1,4.2.2,4.2.1,stimato
BOOKKEEPER-580,4.2.1,4.2.2,4.2.1,stimato
BOOKKEEPER-544,4.1.1,4.2.2,4.1.1,stimato
BOOKKEEPER-446,4.1.1,4.2.2,4.1.1,stimato
BOOKKEEPER-313,4.1.1,4.2.2,4.1.1
BOOKKEEPER-720,4.3.0,4.3.0,4.3.0,stimato
BOOKKEEPER-719,4.3.0,4.3.0,4.3.0,stimato
BOOKKEEPER-714,4.3.0,4.3.0,4.3.0,stimato
BOOKKEEPER-712,4.3.0,4.3.0,4.2.1
BOOKKEEPER-711,4.3.0,4.3.0,4.2.2
BOOKKEEPER-710,4.3.0,4.3.0,4.3.0,stimato
BOOKKEEPER-709,4.3.0,4.3.0,4.3.0,stimato
BOOKKEEPER-700,4.3.0,4.3.0,4.3.0,stimato
BOOKKEEPER-698,4.3.0,4.3.0,4.3.0,stimato
BOOKKEEPER-688,4.2.2,4.3.0,4.2.2,stimato
BOOKKEEPER-678,4.2.2,4.3.0,4.2.2,stimato
BOOKKEEPER-676,4.2.2,4.3.0,4.2.2,stimato
BOOKKEEPER-673,4.2.2,4.3.0,4.2.2,stimato
