Version,File,NR,LOC,LOC_touched,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,NAuth,ChgSetSize,MAX_ChgSetSize,AVG_ChgSetSize,AgeInWeeks,AgeWeighted,NFix,Bugged
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java,5,120,142,131,117,26,120,117,24,3,537,207,107,36,31,0,no
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java,3,63,73,68,60,23,63,60,21,3,417,207,139,36,31,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,1,72,72,72,72,72,72,72,72,1,27,27,27,2,2,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,1,42,42,42,42,42,42,42,42,1,27,27,27,2,2,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,3,48,64,56,48,19,48,48,16,2,405,207,135,36,29,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,2,63,71,67,63,34,63,63,32,2,378,207,189,36,33,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,2,237,277,257,237,129,237,237,119,2,378,207,189,36,33,0,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,3,133,145,139,133,46,133,133,44,2,405,207,135,36,34,0,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,4,137,163,150,136,38,137,136,34,2,498,207,125,36,32,0,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,3,177,185,181,176,60,177,176,59,2,471,207,157,36,35,0,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,2,46,48,47,46,24,46,46,23,2,378,207,189,36,35,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,5,128,146,137,127,27,128,127,26,3,499,207,100,36,32,1,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,3,149,155,152,148,51,149,148,50,2,471,207,157,36,35,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,2,58,60,59,58,30,58,58,29,2,378,207,189,36,35,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,2,149,155,152,149,76,149,149,75,2,378,207,189,36,35,0,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,2,74,82,78,74,39,74,74,37,2,378,207,189,36,34,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,1,37,37,37,37,37,37,37,37,1,207,207,207,36,36,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,2,38,42,40,38,20,38,38,19,2,378,207,189,36,34,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,2,39,41,40,39,20,39,39,20,2,378,207,189,36,35,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,4,96,118,107,95,27,96,95,24,2,498,207,125,36,30,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,3,88,94,91,87,30,88,87,29,2,471,207,157,36,34,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,4,71,85,78,70,20,71,70,18,2,498,207,125,36,31,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,4,114,132,123,113,31,114,113,29,2,498,207,125,36,32,0,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,6,336,492,414,329,69,336,329,56,3,500,207,83,36,28,2,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,4,84,102,93,83,23,84,83,21,2,498,207,125,36,31,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,3,58,68,63,58,21,58,58,19,2,405,207,135,36,32,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,4,123,137,130,122,33,123,122,31,2,498,207,125,36,32,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,5,231,255,243,224,49,231,224,46,2,499,207,100,36,33,0,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,4,586,704,645,585,161,586,585,147,2,498,207,125,36,32,0,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,5,366,414,390,365,78,366,365,73,2,507,207,101,36,33,0,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,4,99,117,108,98,27,99,98,25,2,498,207,125,36,31,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,1,41,41,41,41,41,41,41,41,1,207,207,207,36,36,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,2,66,92,79,65,40,66,65,33,2,378,207,189,36,29,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,3,54,56,55,45,18,54,45,18,3,417,207,139,36,30,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,2,47,55,51,47,26,47,47,24,2,378,207,189,36,33,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,4,183,223,203,185,51,183,185,46,3,476,207,119,36,30,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,1,49,49,49,49,49,49,49,49,1,207,207,207,36,36,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,1,50,50,50,50,50,50,50,50,1,207,207,207,36,36,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,2,98,102,100,97,50,98,97,49,2,300,207,150,36,34,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,1,138,138,138,138,138,138,138,138,1,207,207,207,36,36,0,yes
1,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,1,43,43,43,43,43,43,43,43,1,207,207,207,36,36,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,1,42,42,42,42,42,42,42,42,1,207,207,207,36,36,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,1,56,56,56,56,56,56,56,56,1,207,207,207,36,36,0,yes
1,hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java,2,51,53,52,51,26,51,51,26,2,378,207,189,36,35,0,no
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java,1,41,41,41,41,41,41,41,41,1,207,207,207,36,36,0,no
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java,2,104,118,111,104,56,104,104,52,2,378,207,189,36,33,0,no
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java,1,54,54,54,54,54,54,54,54,1,207,207,207,36,36,0,no
1,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,2,162,164,163,162,82,162,162,81,2,378,207,189,36,36,0,yes
1,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,2,6367,18357,12362,6267,6181,6367,6095,3184,2,172,171,86,14,13,1,yes
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,2,153,157,155,153,78,153,153,77,2,378,207,189,36,35,0,no
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,1,43,43,43,43,43,43,43,43,1,207,207,207,36,36,0,yes
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,2,41,43,42,41,21,41,41,21,2,378,207,189,36,35,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,3,105,207,156,104,52,105,104,35,2,471,207,157,36,24,0,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,5,105,191,148,103,30,105,103,21,3,537,207,107,36,25,0,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,4,92,160,126,91,32,92,91,23,3,488,207,122,36,26,0,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,3,101,201,151,100,50,101,100,34,2,471,207,157,36,24,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,1,45,45,45,45,45,45,45,45,1,207,207,207,36,36,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,2,289,291,290,289,145,289,289,145,2,378,207,189,36,36,0,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,2,32,38,35,31,18,32,31,16,2,300,207,150,36,30,0,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,1,111,111,111,111,111,111,111,111,1,207,207,207,36,36,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,2,35,37,36,35,18,35,35,18,2,378,207,189,36,35,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,1,81,81,81,81,81,81,81,81,1,207,207,207,36,36,0,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,1,27,27,27,27,27,27,27,27,1,207,207,207,36,36,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,1,28,28,28,28,28,28,28,28,1,207,207,207,36,36,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,2,29,31,30,29,15,29,29,15,2,378,207,189,36,35,0,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,4,566,634,600,561,150,566,561,142,3,472,207,118,36,33,1,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,2,64,96,80,64,40,64,64,32,2,378,207,189,36,28,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,2,29,31,30,29,15,29,29,15,2,378,207,189,36,35,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,2,64,66,65,64,33,64,64,32,2,378,207,189,36,35,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,2,37,43,40,37,20,37,37,19,2,378,207,189,36,33,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,2,68,90,79,68,40,68,68,34,2,378,207,189,36,30,0,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,3,154,176,165,153,55,154,153,51,2,471,207,157,36,33,0,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,2,72,74,73,72,37,72,72,36,2,378,207,189,36,35,0,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,6,385,415,400,364,67,385,364,64,3,529,207,88,36,33,1,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,2,76,80,78,76,39,76,76,38,2,378,207,189,36,35,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,3,159,167,163,158,54,159,158,53,2,471,207,157,36,34,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,3,737,1043,890,736,297,737,736,246,2,471,207,157,36,29,0,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,2,74,78,76,74,38,74,74,37,2,378,207,189,36,35,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,3,94,100,97,93,32,94,93,31,2,471,207,157,36,34,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,1,22,22,22,22,22,22,22,22,1,207,207,207,36,36,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,3,427,451,439,426,146,427,426,142,2,471,207,157,36,35,0,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,1,62,62,62,62,62,62,62,62,1,207,207,207,36,36,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,2,58,60,59,58,30,58,58,29,2,378,207,189,36,35,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,2,91,101,96,91,48,91,91,46,2,378,207,189,36,34,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,2,27,29,28,27,14,27,27,14,2,378,207,189,36,34,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,2,77,81,79,77,40,77,77,39,2,378,207,189,36,35,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,3,704,780,742,703,247,704,703,235,2,471,207,157,36,34,0,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,2,63,71,67,63,34,63,63,32,2,378,207,189,36,33,0,no
